
"Friday, 25 September 2026 [performance over the past 7 days]"
Rank,Artist,Title
80,"KAROL G & Bruno Mars","Still"
81,"Chris Isaak","Wicked Game"
82,"Harry Styles","Sign of the Times"
83,"Skilla Baby & Chris Brown","Face Card (feat. Bryson Tiller)"
84,"4 Non Blondes","What's Up?"
85,"Infrasomniac","Sunny Night"
86,"KATSEYE","Animal"
87,"Robin S.","Show Me Love"
88,"Evanescence","Bring Me To Life"
89,"Malcolm Todd","Earrings"
90,"Alex Warren","Ordinary"
91,"Dame Atlas","dame's interlude"
92,"The Doors","The End"
93,"Bloodhound Lil Jeff, BloodHound Q50 & Lil Scoom89","Triple 3"
94,"HUGEL & SOLTO (FR)","Jamaican (Bam Bam)"
95,"Kehlani","Folded"
96,"ADÉLA","Ain't In LA"
97,"Drake & Loe Shimmy","I’m Spent"
98,"Jeezy","All There (feat. Bankroll Fresh)"
99,"Bon Jovi","Livin' On A Prayer"
100,"Empire Of The Sun","We Are The People"
101,"Fleetwood Mac","Dreams"
102,"Drake","Classic"
103,"Tears for Fears","Everybody Wants To Rule The World"
104,"George Michael","Careless Whisper"
105,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
106,"a-ha","Take On Me"
107,"Teddy Swims","Lose Control"
108,"The Outfield","Your Love"
109,"Post Malone","Circles"
110,"Mark Morrison","Return of the Mack"
111,"PIXY","LEGACY"
112,"Fatt Smaxk","BANKS HOUSE"
113,"Benson Boone","Beautiful Things"
114,"El De Las R's","Beretta (De Los Cerros La Escuela)"
115,"Koe Wetzel & Ella Langley","Jaded"
116,"Yung Miami","Spend Dat"
117,"Taylor Swift","The Fate of Ophelia"
118,"The Runaways","Cherry Bomb"
119,"Noah Kahan","Orbiter"
120,"Drake & Sexyy Red","Cheetah Print"
121,"Latto & Doja Cat","Okayyy"
122,"Bon Iver","THINGS BEHIND THINGS BEHIND THINGS"
123,"Lauryn Hill","I Gotta Find Peace of Mind"
124,"AURORA","Runaway"
125,"Mazzy Star","Fade into You"
126,"Timbaland, Keri Hilson & D.O.E.","The Way I Are"
127,"T.I.","LET 'EM KNOW"
128,"Miley Cyrus","Bass Persuades"
129,"Ella Langley","Be Her"
130,"Chappell Roan","Good Luck, Babe!"
131,"Steve Winwood","Valerie"
132,"La Santa Grifa & Chino El Don","Table Dance"
133,"Andrew Oldham Orchestra","The Last Time"
134,"Hoobastank","The Reason"
135,"RhyRhy","Summer Bummer (Lights On)"
136,"Santigold","Disparate Youth"
137,"Isaiah Rashad","SAME SH!T"
138,"Pink Boy","Benny Boy"
139,"TLC","Unpretty"
140,"The Drop - Cast & Nipsey Hussle","LA Theme Song (A Cappella)"
141,"Ella Langley","Loving Life Again"
142,"Fresco Trey & JinoDaDon","Pretty Issue"
143,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
144,"Mary J. Blige","Family Affair"
145,"BROS","Tell Me"
146,"Miguel","Sure Thing"
147,"Prospa & Cloonee","Free Your Mind"
148,"Mary J. Blige","Take Me As I Am"
149,"Billy Idol","Eyes Without A Face"
150,"The Kinks","Animal Farm"
151,"Lainey Wilson & John Mayer","Phone, Keys, Wallet"
152,"Malcolm Todd","Obsessica"
153,"Oasis","Wonderwall"
154,"Staind","Warm Safe Place"
155,"Duncan Sheik","Barely Breathing"
156,"Gracie Abrams","Hit the Wall"
157,"F3miii","NOBLE"
158,"Dexys Midnight Runners","Come On Eileen"
159,"French Montana & Max B","Ever Since U Left Me (I Went Deaf)"
160,"SIENNA SPIRO","Die On This Hill"
161,"Pete & Bas","T Pain"
162,"Rochelle Jordan","Follow Me"
163,"Guns N' Roses","Sweet Child O' Mine"
164,"Creedence Clearwater Revival","Have You Ever Seen The Rain"
165,"Nickelback","How You Remind Me"
166,"Philip Bailey & Phil Collins","Easy Lover"
167,"Foo Fighters","Everlong"
168,"Whiskey Myers","Broken Window Serenade"
169,"Shaboozey & Gunna","High Noon"
170,"Beyoncé","MORNING DEW (DONK) REMIX [feat. JAŸ-Z]"
171,"Zara Larsson","Lush Life"
172,"Lit","My Own Worst Enemy"
173,"Dalvin La Melodia & El Blachy","Alma Rota"
174,"Keyshia Cole","Love"
175,"DJ Goja, Jason Derulo & Melody","Mi Chico (Jason Derulo x Melody Version)"
176,"Lady Gaga & Bruno Mars","Die With A Smile"
177,"JAŸ-Z","Intro"
178,"Sister Nancy","Bam Bam"
179,"Phil Collins","In the Air Tonight"
180,"Drake","Shabang"
181,"Ravyn Lenae","Love Me Not"
182,"Rihanna","Don't Stop The Music"
183,"Tems & COLORS","What You Need - A COLORS SHOW"
184,"Bee Gees","Stayin' Alive"
185,"Rihanna","Work (feat. Drake)"
186,"Starship","Nothing's Gonna Stop Us Now"
187,"Lauren Alaina","All My Exes (feat. Chase Matthew)"
188,"Tyla","IS IT LOVE"
189,"Thekidszn","IMPULSIVE"
190,"J. Cole & PJ","Legacy"
191,"OneRepublic","I Ain't Worried"
192,"October London","Silent Treatment"
193,"El De Las R's & Yng Lvcas","La Cheyenne (Remix)"
194,"Future","California Girls"
195,"Faouzia","UNETHICAL"
196,"House of Pain","Jump Around"
197,"Coldplay","Hymn for the Weekend"
198,"New Radicals","You Get What You Give"
199,"Flo Rida","Low (feat. T-Pain)"
200,"nissi & 25Hzz","Wyw My Sweetie #Jerseyclub (Super Slowed)"
