
"Monday, 17 August 2026 [performance over the past 7 days]"
Rank,Artist,Title
65,"Navjot Ahuja","Khat"
66,"Lvbel C5 & AKDO","COOOK PARDON"
67,"Suleymer","Hipnotique"
68,"G-Eazy & Halsey","Him & I"
69,"Ahsan Javed","SARGOSHI"
70,"Anirudh Ravichander","Bloody Valentine (Instrumental)"
71,"LOVIXX STOSLIV","dont tell your dreams to everybody (feat. LOVIXX)"
72,"Garvit - Priyansh, Priyansh Srivastava, Jonita Gandhi & Aniket Shukla","Kaafi Hai Na (From "Musafir Cafe")"
73,"Temper City","Self Aware"
74,"Tame Impala","Dracula"
75,"Dee the Producer","Dhadkan"
76,"Sai Abhyankkar, Shruti Haasan & Vivek","Pavazha Malli (From "Think Indie")"
77,"Pritam & Mustafa Zahid","Toh Phir Aao"
78,"ridgeclub","do i clench my fists?"
79,"Dj Faandaro","Toxic Voltage"
80,"tienanh109, HDN & hailong140","X-COOL! (Instrumental - Slowed)"
81,"Ketan Kumar","शम्भु स्तुति"
82,"Nxxkz, -Prey, Silo & Mc Gw","BREGA DO LOVE (SLOWED)"
83,"Pritam, Mahmood, Raghav Chaitanya, Amitabh Bhattacharya & Ruaa Kayy","Mashooqa (From “Cocktail 2”)"
84,"Banjaare","Bairan"
85,"Anirudh Ravichander","Namaste"
86,"Sheheryar Rehan & Zoha Waseem","Majboor"
87,"Jubin Nautiyal","Humnava Mere (From "Humnava Mere")"
88,"Tsering Dhundup Gurung & Dipali Pradhan","Lau Suna Suna [From "The Silent Echo"]"
89,"Hazbulla Kollam, Ajmal Bin Ashkar & Ashraf Palappetty","Noore Fathima"
90,"Bruno Mars","That's What I Like"
91,"Anirudh Ravichander & Heisenberg","One Name (From "Jailer 2")"
92,"Noor, Khan & Madhurxo","Aarzu"
93,"Indila","Love Story"
94,"Mustafa Zahid & Jeet Gannguli","Jo Tere Sang"
95,"Sai Abhyankkar, V.M. Mahalingam & Pa Vijay","Karuppa Kooda Va (From "Karuppu")"
96,"ptasinski & Rj Pasin","characteristic"
97,"Arijit Singh","Haareya (From "Meri Pyaari Bindu")"
98,"Adele","Lovesong"
99,"Sachet-Parampara, Sachet Tandon, Parampara Tandon, Irshad Kamil & Prashant Pandey","Humsafar (From "Saiyaara")"
100,"Aphex Twin","180Db_ [130]"
101,"Aksomaniac, M.H.R, Bhumi & Circle Tone","Amsham - അംശം"
102,"Kiran Kamath, Mithoon, Ankit Tiwari & Jeet Gannguli","Aashiqui 2 Mashup"
103,"Imael Angel","Bad Times (Extended Version)"
104,"PS Polist","PITTAL"
105,"Nusrat Fateh Ali Khan","Mere Rashke Qamar"
106,"Pritam, Arijit Singh, Sunidhi Chauhan & Amitabh Bhattacharya","Tujhko (From “Cocktail 2”)"
107,"El De Las R's","La Cheyenne"
108,"Jaman T","Будь моей"
109,"Kam Lohgarh","Sikh Kaum Nu Maan Bada Jagtar Haware Te (feat. Kewal Mehta)"
110,"Enigma","The Child In Us"
111,"Karan Aujla & MXRCI","Low Fade"
112,"Atif Aslam, Shalmali Kholgade & Sachin-Jigar","Tera Naam Doon"
113,"EsDeeKid & Rico Ace","Mist"
114,"Catalina Cruz","My Dad Is My Hero"
115,"Empire Of The Sun","We Are The People"
116,"Jawad Ahmed, Sharib Toshi, Arijit Singh & Shreya Ghoshal","Samjhawan (From "Humpty Sharma Ki Dulhania")"
117,"Cheema Y & Gur Sidhu","Jackpot"
118,"Jasleen Royal, Badshah & Ansh Chahal","Inaam"
119,"Karan Aujla & Ikky","Boyfriend"
120,"Satinder Sartaaj","Tere Bina Na Guzara E"
121,"Deep Dhaliwal","Hypnotic (Lofi) [feat. Anker Deol]"
122,"Babbar & Refix","Thaat"
123,"Robert Miles","Children"
124,"Harsh Nussi","Sadi Sun"
125,"Post Malone & Swae Lee","Sunflower (Spider-Man: Into the Spider-Verse)"
126,"Lex Amarni & 2muchmotion","the kill 2"
127,"Mitta Ror & Swara Verma","Sheesha (Aakhya Mai Aakh Ghali Jo Beran)"
128,"Anirudh Ravichander","Bloody Band (From "DC")"
129,"Alok & Alan Walker","Headlights (feat. KIDDO) [Slowed Version]"
130,"She & Him","I Thought I Saw Your Face Today"
131,"Bilal Saeed","12 Saal"
132,"VASU","WAITIN"
133,"pupsies","Misery."
134,"Olivia Rodrigo","favorite crime"
135,"Kishore Kumar","Pal Pal Dil Ke Paas (From "Blackmail")"
136,"JAŸ-Z & Kanye West","No Church in the Wild (feat. Frank Ocean & The-Dream)"
137,"G.V. Prakash Kumar, Sublahshini & Arunraja Kamaraj","Pattampoochi (From "Vishwanath & Sons Tamil")"
138,"Wajhi Farooki","Ruposh (Original Score)"
139,"Sai Abhyankkar, V.M. Mahalingam, Paal Dabba & Vivek","Raathu Raasan (From "Karuppu")"
140,"Ahmed Spins","Anchor Point (feat. Stevo Atambire)"
141,"Anirudh Ravichander & Vishal Mishra","Raga of Madness"
142,"Dave & Tems","Raindance"
143,"Aakash Vyom","तेरे दोनों कान आज भर रहा हूँ (Tere Dono Kaan Aaj Bhar Raha Hoon)"
144,"Amber & prodGK","Dreams"
145,"Bintu Pabra & Shiva Choudhary","Kabze"
146,"Abdull vocals","Alhamdullilah"
147,"Manmohan Waris","Satranga Lishkara"
148,"Kendrick Lamar, SZA","All The Stars"
149,"The Rish & Jubin Nautiyal","Barbaad (From "Saiyaara")"
150,"Jasmine Sandlas & Satinder Sartaaj","Jaiye Sajana (From "Dhurandhar The Revenge")"
151,"Michael Jackson","They Don't Care About Us"
152,"Rahat Fateh Ali Khan & Jeet Gannguli","Chaahat"
153,"Gur Sekhon","Baba Maal Tej Aa"
154,"Stromae","Alors on danse (feat. Erik Hassle)"
155,"Shashwat Sachdev, Arijit Singh, Irshad Kamil & Armaan Khan","Gehra Hua (From "Dhurandhar")"
156,"The Weeknd & Anitta","São Paulo"
157,"A.R. Rahman, Vedang Raina, Nilanjana Ghosh & Irshad Kamil","Maskara (From "Main Vaapas Aaunga")"
158,"KITSCHKRIEG, Blumengarten & Shirin David","Gut Genug (mit Blumengarten & Shirin David)"
159,"Ariana Grande","bye"
160,"Rahat Fateh Ali Khan","Halka Halka"
161,"Aya Nakamura","Copines"
162,"Anirudh Ravichander, Ram Kumar & HEISENBERG","Ain't Nobody (From "DC")"
163,"Meechie Alexander","Shot"
164,"Rubikdice, Chilx & WAA","MONTAGEM PEGADORA (Slowed)"
165,"Saigrace Pokharel","Naulo Suruwat Saigrace"
166,"Fred again.., Skepta & PlaqueBoyMax","Victory Lap"
167,"Mithoon & Arijit Singh","Darkhaast (From "Shivaay") (feat. Sunidhi Chauhan)"
168,"Anirudh Ravichander & Dhibu Ninan Thomas","Othaiyadi Pathayila"
169,"M83","Outro"
170,"Arijit Singh","Nashe Si Chadh Gayi (From "Befikre")"
171,"Alka Yagnik & Udit Narayan","Jo Bhi Kasmein"
172,"Monu Music","Bhutto"
173,"Zeeshan Ali","Ishqa Ve"
174,"Zericxxn","Raya (Slowed)"
175,"The Neighbourhood","Reflections"
176,"Vidyasagar, Krishnakumar Kunnath & Anuradha Sriram","Appadi Podu"
177,"Parmish Verma, Starboy X & MC SQUARE","Behja"
178,"Gigi Perez","Sailor Song"
179,"Crish Ramirez","Buena Vida Mala Fama Slow Reverb (Instrumental)"
180,"Lana Del Rey","Young And Beautiful"
181,"Shakira & Burna Boy","Dai Dai"
182,"Timbaland, Keri Hilson & D.O.E.","The Way I Are"
183,"Arijit Singh, White Noise Collectives & Amitabh Bhattacharya","Sitaare (From "Ikkis")"
184,"Shashwat Sachdev & Khan Saab","Jaan Se Guzarte Hain"
185,"Mahalakshmi Iyer","Des Rangila"
186,"Addi Kalyan","Warning"
187,"dj Samir, Nulteex, John Bis.T & RXDXVIL","MONTAGEM ELDER (ULTRA SLOWED)"
188,"Gold Boy & Jassie Gill","Churai Janda Eh (From "High End Yaariyaan")"
189,"Siddharth Mahadevan & Shilpa Rao","Malang (From "Dhoom:3")"
190,"Amit Singh","भ्रम और कर्म"
191,"Justin Bieber","Beauty and a Beat (feat. Nicki Minaj)"
192,"Jennifer Lopez","On the Floor (feat. Pitbull)"
193,"Arijit Singh & Parampara Thakur","Pal Pal Dil Ke Paas - Title Track"
194,"Boney M.","Rasputin"
195,"Sachin-Jigar, Atif Aslam & Sumedha Karmahe","Toota Jo Kabhi Tara"
196,"A.R. Rahman & Irshad Kamil","Deewaana Deewaana (From "Tere Ishk Mein")"
197,"Sia","Cheap Thrills"
198,"Sai Abhyankkar, Arivu & Arun Srinivasan","Verappa - Extended (From "Karuppu")"
199,"Karan Aujla & Ikky","52 Bars"
200,"Jindhmahi, Knockout & Crmxl","Table 19"
