
"Saturday, 26 September 2026 [performance over the past 7 days]"
Rank,Artist,Title
47,"Infrasomniac","Sunny Night"
48,"AURORA","Runaway"
49,"ADÉLA","Ain't In LA"
50,"Prod Nifo & BLACKX","Dubi Dubi Dam Dam"
51,"Seyi Vibez","Ilome"
52,"Chris Isaak","Wicked Game"
53,"Mac Miller","Cinderella (feat. Ty Dolla $ign)"
54,"DA TI","Take Me There"
55,"Thiago Navarro Music","Bonito, Bonito"
56,"Harry Styles","Sign of the Times"
57,"Seyi Vibez","Volume"
58,"Chris Norman & Suzi Quatro","Stumblin' In"
59,"Alex Warren","Ordinary"
60,"Mondo Cozmo","Sweet Forever"
61,"Falling In Reverse, Corey Taylor & Serj Tankian","Joseph"
62,"Ravyn Lenae","Love Me Not"
63,"ARIA VEGA","COMPA COLETO (uy_como)"
64,"Beekay Monalayzzar, METT4LIQ-151, UDUBE & Simah Nation","Ubaba wam"
65,"Tman Xpress & Mellow & Sleazy","Remember"
66,"Jhené Aiko","So Good (feat. Kendrick Lamar)"
67,"Chappell Roan","Good Luck, Babe!"
68,"Dan Auerbach","Heartbroken, In Disrepair"
69,"George Michael","Careless Whisper"
70,"Tame Impala","Dracula"
71,"Adele","Lovesong"
72,"Justin Bieber","Beauty and a Beat (feat. Nicki Minaj)"
73,"The Goo Goo Dolls","Iris"
74,"Faouzia","UNETHICAL"
75,"Ayra Starr","Heaven Baby (feat. ZAYN)"
76,"Victony","SLICK"
77,"Ariana Grande","bye"
78,"Don Miguelo","Y Qué Fue?"
79,"Steve Lacy","oh yeah?"
80,"The New Basement Tapes","When I Get My Hands On You"
81,"The Doors","The End"
82,"Emma Louise","Jungle"
83,"Taylor Swift","The Fate of Ophelia"
84,"Lady Gaga & Bruno Mars","Die With A Smile"
85,"PIXY","LEGACY"
86,"Tame Impala","Dracula (with JENNIE)"
87,"The Second Voice","LET ME BE"
88,"El De Las R's","Beretta (De Los Cerros La Escuela)"
89,"Fat Papi & prodshushy","FREAKED OUT"
90,"SABI & MIA BOYKA","Базовый минимум (Slow Version)"
91,"Macklemore & Ryan Lewis","Can't Hold Us (feat. Ray Dalton)"
92,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
93,"Andrew Oldham Orchestra","The Last Time"
94,"Coldplay","Hymn for the Weekend"
95,"BLOK3","Sebebi Yar"
96,"Evanescence","Bring Me To Life"
97,"Jefferson Airplane","Today"
98,"Mr JazziQ & thesiix","Katalia (feat. Shazz Rsa, Don Deeya & Magwe ZA)"
99,"Belly Gang Kushington & 21 Savage","WTF GOIN"
100,"BESTie","Love Options"
101,"Noodah05","Around Me"
102,"Bruno Mars","Risk It All"
103,"Lana Del Rey","Cinnamon Girl"
104,"Nirvana","Smells Like Teen Spirit"
105,"Edward Maya & Vika Jigulina","Stereo Love"
106,"Billy Idol","Eyes Without A Face"
107,"Prospa, Sybil & Cloonee","Free Your Mind"
108,"Hotkid","Baba (feat. Zlatan)"
109,"KAROL G & Bruno Mars","Still"
110,"The Bausa","Magnetic"
111,"Benson Boone","Beautiful Things"
112,"sombr","back to friends"
113,"KITSCHKRIEG, Blumengarten & Shirin David","Gut Genug (mit Blumengarten & Shirin David)"
114,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden"
115,"Lord Huron","The Night We Met"
116,"Olivia Rodrigo","drop dead"
117,"M83","Outro"
118,"Pete & Bas","T Pain"
119,"Olivia Dean","Man I Need"
120,"Seyi Vibez","Back 2 U"
121,"Mary J. Blige","Family Affair"
122,"Taylor Swift","I Knew It, I Knew You (From "Toy Story 5")"
123,"Mazzy Star","Fade into You"
124,"Akon","Lonely"
125,"Lil Baby","Dead Fresh"
126,"Proyecto Uno","Tiburon"
127,"The Killers","Mr. Brightside"
128,"Zericxxn","Raya (Slowed)"
129,"Reefer Tym, Jheral & Jão Beats","Asalto"
130,"Phil Collins","Another Day In Paradise"
131,"Zeddy Will","Bow Bow Bow"
132,"JAŸ-Z","03' Bonnie & Clyde (feat. Beyoncé Knowles)"
133,"Alyssa Grace","bloodstream"
134,"Dj Jaivane & Zem_sa","Ibele"
135,"BIA","WE ON GO"
136,"Carla Morrison","Disfruto"
137,"Beekay Monalayzzar, REEL ZAYO & Jayy D Musiq","Khanyisa (feat. Mntomnandi)"
138,"Focalistic, Optimist Music ZA, Benzoo & Mellow & Sleazy","Gumba Fire (feat. Mr JazziQ)"
139,"Rihanna","Work (feat. Drake)"
140,"Miyagi & Эндшпиль","I Got Love (feat. Рем Дигга)"
141,"Robin S.","Show Me Love"
142,"Christina Perri","A Thousand Years"
143,"The Runaways","Cherry Bomb"
144,"Dominic Fike","Babydoll"
145,"GLM-RST","still love you (Slowed)"
146,"Bonnie Tyler","Total Eclipse of the Heart"
147,"Seyi Vibez","Pansa"
148,"El De Las R's & Yng Lvcas","La Cheyenne (Remix)"
149,"Justin99","Restart"
150,"YungMeechy","Дофамин (prod. by Philadelphia76)"
151,"Tom Odell","Another Love"
152,"Ed Sheeran","Perfect"
153,"The Chainsmokers","Don't Let Me Down (feat. Daya)"
154,"ARTIK & ASTI","Лампочки"
155,"Premium Emf","Chairman"
156,"Indila","Love Story"
157,"Plain White T's","Hey There Delilah"
158,"Rihanna & Calvin Harris","We Found Love"
159,"LONOWN & riserayss","worry (Instrumental Slowed)"
160,"Drake","Janice STFU"
161,"Katy Perry","The One That Got Away"
162,"Tove Lo","Talking Body"
163,"4 Non Blondes","What's Up?"
164,"Foreigner","I Want To Know What Love Is (Remastered)"
165,"Haddaway","What Is Love (7" Mix)"
166,"Manon Lisa","Le Petit Pêcheur"
167,"RÜFÜS DU SOL","Innerbloom"
168,"USHER","Yeah! (feat. Lil Jon & Ludacris)"
169,"Hiva, Haps & PAIX","Roja Nu"
170,"Slayyyter","DANCE..."
171,"Journey","Don't Stop Believin'"
172,"Vanessa Carlton","A Thousand Miles"
173,"Rihanna","Don't Stop The Music"
174,"Ricchi & Poveri","Sarà Perché Ti Amo"
175,"Ya Ice Dilan, Rey Tony, DJ Honda & Helabusador","Dichavate"
176,"Keane","Somewhere Only We Know"
177,"SABI & MIA BOYKA","Базовый минимум"
178,"Cutting Crew","(I Just) Died In Your Arms"
179,"Djo","End of Beginning"
180,"The Police","Every Breath You Take"
181,"Gigi Perez","Sailor Song"
182,"Fally Ipupa","Delirium"
183,"holottacheese","BFF4L (feat. holottamula)"
184,"Tears for Fears","Everybody Wants To Rule The World"
185,"Zulu Queens, Lwah Ndlunkulu, MaWhoo & Feza","Distance"
186,"Mauvais Djo","Pilé (Gospel)"
187,"Hamza Malik & Zain Zohaib","Alfaaz"
188,"comehelpglo","onsra"
189,"Jakone & Kiliana","Была, не была"
190,"VILLIAN & madk1d","ДИНАСТИЯ"
191,"Alex Warren","FEVER DREAM"
192,"Pitbull","Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)"
193,"a-ha","Take On Me"
194,"Procol Harum","A Whiter Shade of Pale (Original Single Version)"
195,"Desireless","Voyage voyage"
196,"Lucenzo","Danza Kuduro (feat. Don Omar)"
197,"G-Eazy & Halsey","Him & I"
198,"Aitch","RMB (Ring My Bell)"
199,"Justin Timberlake","SexyBack (feat. Timbaland)"
200,"Elley Duhé","MIDDLE OF THE NIGHT"
